84210cb1215158b9,rасcοon,62,182
18cf58e882cd4852,ѕquirrеl,72,213
c7e8f8e77f0b833e,rаcсoοn,131,206
f4363b1ea6923610,rаcсoοn,59,41
2d2c583a1c8b39c5,head of the аnimаl,136,196
c9eb7cfb3c1fb14f,head of the аnimаl,87,112
4c5514915a01a978,raссoon,49,192
1a795a145063868e,raссoon,110,46
a49dc6a32c54463e,head of the аnіmаl,190,99
3a3e6dbb2cefede2,head of the аnіmаl,95,175
dda5d622f3046bf5,number two.,96,76
1edbfb65cdf81831,number two.,102,95
856fc7d8b63f246,raccoon,116,134
c74b461763d47740,raccoon,67,48
41915ba4cff4c669,raccoon,182,62
3945518edf8b182e,raccoon,99,212
f609bc24be7cb35b,number two.,204,224
322ee7dea6457f65,number two.,75,222
ff6eec7a3b95185b,number two.,34,56
db9de08e6100b90e,number two.,104,169
9812f6d10ff1dcdf,head of the animal,115,57
14b2f28490b1f411,head of the animal,209,98
50bab1f42b93e55e,number two.,155,154
b44838d203e9dfe1,number two.,110,49
22652b9d41c3aa21,raccoon,206,116
946de5c3d9f07814,raccoon,59,190
670e34810722d0dd,raccoon,48,195
338145634708576a,raccoon,59,194
21c436ed19350c37,raccoon,171,65
b79529ff18991292,raccoon,201,106
4070ede724ac4ccc,head of the animal,184,103
c99b9fae56c6d80d,head of the animal,81,134
7c3e53a55d1db61d,raccoon,220,170
600190cd74d8fdb,raccoon,203,67
bb57c16ca34d7596,raccoon,62,166
d58166712b1f9a3e,raccoon,217,50
c2d1c5748c01b986,raccoon,218,211
266d7dc6abfafa93,raccoon,186,190
2bc6029e61b7f2ff,raccoon,35,122
a3c9d6fe789c2511,raccoon,200,180
ab91fb282610ccb1,number two.,50,82
5b0242c5cb2de313,number two.,121,114
97c29d6c6ce61565,raccoon,206,171
3ca9ac35c84b2661,raccoon,99,41
48493938b832d2a2,number two.,76,121
a7150f141eb0c71d,number two.,40,183
4488138284c208e5,raccoon,204,73
959226ce1ecd6500,raccoon,54,155
f58b1ff7dfc1727b,raccoon,210,119
d8e7ab08197012ba,raccoon,191,46
88c84ec981c6a10d,head of the animal,147,177
b860592514e20af3,head of the animal,160,195
9f63e1126a834027,raccoon,103,122
4c5514915a01a978,raccoon,49,192
8b4eb5ca47aabae0,raccoon,173,211
9afa9989bc4abdaa,raccoon,52,212
87cd53f767880d44,squirrel,39,212
8ef5c1d8054c0ef,squirrel,126,56
82d2003c237ba685,raccoon,84,194
7226800625428fee,raccoon,40,107
4aa19ac16dca6307,raccoon,190,51
e4db3d73e23409cf,raccoon,175,72
7bae2740dd525753,number two.,130,212
33164d470faf9221,number two.,179,169
f644b31741a3b06e,squirrel,146,212
62b1b66caec8a2b4,squirrel,65,174
6e4e35c44bf5f131,raccoon,76,209
e228e8d8b34cc23b,raccoon,186,205
87e73542e8a03f07,number_two.,62,37
fee65358aa96bd8f,number_two.,192,74
4d84fabaf1246631,head_of_the_animal,70,177
7634caa62242ab7f,head_of_the_animal,219,125
4d94c48fb959eca7,raccoon,50,210
3149d27b38ce0cc5,raccoon,43,54
c46704813b11fa2b,raccoon,52,68
f8249401608a3b72,raccoon,46,124
a5b3d6a1af705f02,raccoon,180,187
5c5c4e2ee4016309,raccoon,64,114
a38678bf8fa797,raccoon,104,160
627fa65af16d0d9,raccoon,72,99
449492b6f2079af9,number_two.,194,79
c50f55f2144c49f0,number_two.,199,138
590317665c26e52e,head_of_the_animal,154,72
2880c506f554cdb7,head_of_the_animal,204,113
c07d686981a95172,raccoon,53,202
fe21cb08f90c915e,raccoon,207,186
3e0a835f822c5011,number_two.,78,186
afe1efea21bd00a5,number_two.,219,219
1b5409eb9ccae973,raccoon,162,205
515011b00e524de5,raccoon,124,52
6491c29daf46d014,raccoon,139,50
75b95742ec3677e4,raccoon,212,164
a416efcc88200ca,squirrel,71,75
2b0c0b20e83b15eb,squirrel,197,128
135e8deaae1a5537,raccoon,195,130
8f9121b67fd6f524,raccoon,170,190
368d039d6b39aaac,raccoon,155,212
d855abb6160793d3,raccoon,131,128
29095bbd99dab435,raccoon,45,144
5647f9c390e7bc1a,raccoon,58,179
33164d470faf9221,number_two.,179,169
dd502ed2ffb641f1,number_two.,202,50
78b3f6767bd53eed,head_of_the_animal,189,120
76c7466f48fa3ead,head_of_the_animal,165,50
e75c4c75450782f,number_two.,41,56
d766c6e727c76b01,number_two.,174,141
99210985f8cdf02d,number_two.,199,55
e7c78ea13793cd50,number_two.,71,66
598f58447083f0a,raccoon,45,50
45da0a1ad45515f9,raccoon,187,185
633f786a33dd4c1,raccoon,221,191
3b7b0bf15a7a2e8e,raccoon,186,44
263c7122eb9162ff,number_two.,120,216
ed82af811b7d1822,number_two.,216,60
36eaa5fe0f854ae2,raccoon,209,169
373af9bb1a71429e,raccoon,206,130
849d9caa24dae3af,raccoon,68,192
5dbf92a0b625d9aa,raccoon,45,46
b381449e8da3af73,raccoon,195,167
d925c5af6cedc462,raccoon,215,210
d8a21145b4b94b25,raccoon,191,179
dda5d622f3046bf5,number_two.,96,76
7fe61f08f5588660,number_two.,42,61
38d86f7637b88122,raccoon,42,41
eea7ff22b485e328,raccoon,58,184
18311cb0af5e2082,number_two.,208,101
c0efa2868fab876d,number_two.,208,191
fc06de2570f62a81,head_of_the_animal,88,162
5582250d25dff5ef,head_of_the_animal,50,141
